student firstname,student surname,student id,student email,year,address,contact number,module id,module name,leader,lecturer1,lecturer2,exam mark,coursework1,coursework2,coursework3
Fernando,Choi,99519444,FC1Y25@UoNEHT.ac.uk,2,"568 Kelly Alley
North Melissa, LA 86410",(835)728-1967,COMP2405,Advanced Statistics,BM1Z1@UoNEHT.ac.uk,KR1Z1@UoNEHT.ac.uk,EF1Z1@UoNEHT.ac.uk,10.0,,,
James,Flynn,105911094,JF13Y25@UoNEHT.ac.uk,2,"58735 Bennett Mews
Barnesside, SD 35148",,ELEC2406,Intermediate Statistics,AW1Z1@UoNEHT.ac.uk,,,2.0,6.0,1.0,
Melissa,Rich,15288197,MR3Y25@UoNEHT.ac.uk,4,"7425 Cross Ferry
West Matthewside, MI 87525",747-421-7191,FREN4407,Expert Creative Writing,NY1Z1@UoNEHT.ac.uk,EM1Z1@UoNEHT.ac.uk,,,19.0,28.0,
Rachel,Roberts,75239121,RR3Y25@UoNEHT.ac.uk,3,"29798 Carter Corners Apt. 397
Duncanfurt, LA 67293",,ELEC3403,Mastering Ethics and Standards,WR1Z1@UoNEHT.ac.uk,,,74.0,7.0,0.0,
Breanna,Jennings,67821304,BJ3Y25@UoNEHT.ac.uk,3,"81703 Gordon Fields
Port Samanthafurt, AL 88455",2345598201,COMP3403,Practical Statistics,LK1Z1@UoNEHT.ac.uk,AW1Z1@UoNEHT.ac.uk,,64.0,5.0,5.0,
Dakota,Walker,77705336,DW6Y25@UoNEHT.ac.uk,2,"66432 Jerry Shores Apt. 961
Stephenborough, MN 45248",(231)368-0266x180,FINE2402,Prototypical Portraits,BK1Z1@UoNEHT.ac.uk,LM1Z1@UoNEHT.ac.uk,MS2Z1@UoNEHT.ac.uk,,18.0,27.0,6.0
Rhonda,Strong,141974582,RS13Y25@UoNEHT.ac.uk,1,"603 Michael Rapid
Zamoraberg, MS 97474",(462)306-4738x9363,ELEC1405,Introduction to Hardware,KS4Z1@UoNEHT.ac.uk,JH2Z1@UoNEHT.ac.uk,AD4Z1@UoNEHT.ac.uk,32.0,10.0,0.0,
Mark,Miller,130537051,MM28Y25@UoNEHT.ac.uk,1,"078 Kristen Parks
Maysland, VA 66365",001-585-968-6064x76042,GER1405,Beginner's Rhetoric,JK1Z1@UoNEHT.ac.uk,SW1Z1@UoNEHT.ac.uk,,60.0,1.0,,
Matthew,Williamson,27523693,MW5Y25@UoNEHT.ac.uk,4,"91811 Bailey Ford
Christophershire, NE 74484",(407)554-4277x6274,COMP4407,Theoretical Programming,JB2Z1@UoNEHT.ac.uk,AD2Z1@UoNEHT.ac.uk,,,6.0,46.0,
Maria,Wallace,81173374,MW17Y25@UoNEHT.ac.uk,2,"3783 Mckenzie Fork
Robinsonborough, AK 84341",+1-724-652-4672x278,ANIM2404,Prototypical Lighting,TF1Z1@UoNEHT.ac.uk,,,,31.0,12.0,27.0
David,Diaz,12471085,DD1Y25@UoNEHT.ac.uk,4,"815 Julie Garden Apt. 082
Port Meganside, AR 99731",582-277-4671,FREN4404,Mastering French Grammar,DS1Z1@UoNEHT.ac.uk,TB1Z1@UoNEHT.ac.uk,,59.0,5.0,,
Mark,Peters,26875007,MP4Y25@UoNEHT.ac.uk,4,"63704 Tran Isle
New Anne, CO 97634",,GER4407,Master's Poetics,JW1Z1@UoNEHT.ac.uk,,,4.0,5.0,9.0,7.0
Lori,Andrews,43521822,LA2Y25@UoNEHT.ac.uk,3,"09427 Taylor Square
New Anna, OK 17441",(232)990-5246,ANIM3404,Practical Modelling,DM1Z1@UoNEHT.ac.uk,MA1Z1@UoNEHT.ac.uk,,21.0,2.0,,
Robert,Solis,59034477,RS4Y25@UoNEHT.ac.uk,3,"Unit 7536 Box 5164
DPO AE 65835",,ENG3403,Field English Literature,JS2Z1@UoNEHT.ac.uk,CC1Z1@UoNEHT.ac.uk,,,13.0,23.0,28.0
Krista,Gonzalez,124503402,KG11Y25@UoNEHT.ac.uk,1,"6149 Ford Spring Apt. 722
Kaylaview, OH 70188",+1-522-337-6572x01782,ENG1406,Introduction to Wider Media,RC1Z1@UoNEHT.ac.uk,,,18.0,5.0,,
Larry,Reed,1233398,LR1Y25@UoNEHT.ac.uk,4,"75585 Kaufman Mall
East Juliashire, IA 44631",767.370.9092,FINE4402,Expert Sketching,RS1Z1@UoNEHT.ac.uk,LM1Z1@UoNEHT.ac.uk,PM1Z1@UoNEHT.ac.uk,60.0,,,
Jeffrey,Morris,120156141,JM42Y25@UoNEHT.ac.uk,1,"47755 Ross Valley Suite 529
Nicolestad, AR 54363",,FREN1406,Beginner's Creative Writing,KS3Z1@UoNEHT.ac.uk,ML1Z1@UoNEHT.ac.uk,,39.0,15.0,,
Amanda,Padilla,121722195,AP18Y25@UoNEHT.ac.uk,1,"Unit 1223 Box 3508
DPO AA 90621",+1-931-466-3330,FREN1405,Foundational Poetics,JJ2Z1@UoNEHT.ac.uk,,,65.0,2.0,9.0,0.0
Brianna,Anthony,43263746,BA2Y25@UoNEHT.ac.uk,3,"931 Glover Trail
New Joseph, NE 35433",001-654-630-1747x83253,FINE3403,Advanced Landscapes,DG1Z1@UoNEHT.ac.uk,HS1Z1@UoNEHT.ac.uk,,,13.0,8.0,27.0
Jessica,Cruz,135669515,JC30Y25@UoNEHT.ac.uk,1,"2206 Mccormick Isle Suite 453
Cookborough, AR 09327",,COMP1405,Basic Ethics and Standards,FM1Z1@UoNEHT.ac.uk,DS7Z1@UoNEHT.ac.uk,,71.0,9.0,,
Tyler,Clark,90713357,TC11Y25@UoNEHT.ac.uk,2,"600 Michelle Squares
Kellyfort, GU 46193",,ENG2406,Structured English Grammar,RM3Z1@UoNEHT.ac.uk,,,24.0,37.0,,
Elizabeth,Graves,97851558,EG6Y25@UoNEHT.ac.uk,2,"087 Trevor Landing Apt. 677
Carolynville, MS 27433",+1-609-682-7603,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,46.0,17.0,
Bonnie,Diaz,115034815,BD4Y25@UoNEHT.ac.uk,1,"244 Scott Prairie
East Jane, RI 74959",804.592.7535,ANIM1401,Basic Animation,DB1Z1@UoNEHT.ac.uk,,,54.0,4.0,1.0,3.0
Logan,Velasquez,58909822,LV1Y25@UoNEHT.ac.uk,3,"40881 Dudley Ridge Apt. 630
Benjamintown, MD 55144",(276)807-6375,ENG3402,Mastering Wider Media,MB1Z1@UoNEHT.ac.uk,,,23.0,20.0,,
Andrew,Cunningham,6391206,AC5Y25@UoNEHT.ac.uk,4,"518 Floyd Run
Grantville, NE 62522",993.373.1033,ANIM4403,Expert Blending,GD1Z1@UoNEHT.ac.uk,,,61.0,,,
Debbie,Hines,36148646,DH7Y25@UoNEHT.ac.uk,4,"Unit 8260 Box 9451
DPO AP 57549",,ELEC4404,Master's Statistics,CT1Z1@UoNEHT.ac.uk,AS1Z1@UoNEHT.ac.uk,LK1Z1@UoNEHT.ac.uk,14.0,20.0,1.0,8.0
Jeffrey,Williams,138394008,JW34Y25@UoNEHT.ac.uk,1,"USS Shepard
FPO AP 44789",,COMP1404,Early Software,TG1Z1@UoNEHT.ac.uk,CD1Z1@UoNEHT.ac.uk,,51.0,4.0,0.0,
Michael,Smith,134435271,MS21Y25@UoNEHT.ac.uk,1,"01807 Brandi Centers Apt. 413
Floydfort, MI 69731",432-756-7185x19471,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,18.0,1.0,1.0,
Rebekah,Griffin,6186243,RG1Y25@UoNEHT.ac.uk,4,"4133 Burke Plain Suite 791
Lake Sarah, MP 58164",001-907-615-2845x179,ANIM4402,Theoretical Rigging,AD1Z1@UoNEHT.ac.uk,,,100.0,,,
Amy,Thomas,5746191,AT1Y25@UoNEHT.ac.uk,4,"415 Tyler Corner
North Aprilport, NM 84698",+1-629-268-8386x236,FINE4404,Theoretical Landscapes,PG1Z1@UoNEHT.ac.uk,,,41.0,20.0,,
Steven,Hobbs,118659525,SH14Y25@UoNEHT.ac.uk,1,"7176 Schmitt Skyway
Donnaport, RI 99698",396-648-3114x48210,FREN1405,Foundational Poetics,JJ2Z1@UoNEHT.ac.uk,,,15.0,0.0,2.0,0.0
Jacqueline,Griffin,120493275,JG16Y25@UoNEHT.ac.uk,1,"3208 Jennifer Canyon Suite 221
Port Jenniferport, NV 14836",234.432.6566,FREN1402,Introduction to Formal Speech,KB3Z1@UoNEHT.ac.uk,AG1Z1@UoNEHT.ac.uk,,63.0,1.0,10.0,1.0
Laura,Rogers,24324008,LR6Y25@UoNEHT.ac.uk,4,"019 Paul Junctions
Bakerchester, WI 49470",(332)678-6190x981,GER4404,Expert Rhetoric,JC1Z1@UoNEHT.ac.uk,,,,21.0,0.0,
Martha,Medina,29413065,MM7Y25@UoNEHT.ac.uk,4,"281 Taylor Squares
Frenchbury, UT 89324",,COMP4405,Theoretical Statistics,JJ1Z1@UoNEHT.ac.uk,RR2Z1@UoNEHT.ac.uk,,26.0,12.0,,
Jennifer,Richardson,54851013,JR13Y25@UoNEHT.ac.uk,3,"08669 Larry Junctions
Tinaville, KY 99330",+1-383-744-2098x8431,ENG3407,Field Creative Writing,MH2Z1@UoNEHT.ac.uk,,,5.0,8.0,2.0,
Javier,Herring,120825010,JH39Y25@UoNEHT.ac.uk,1,"62292 Brian Villages
Port Danielstad, GA 49170",2037124074,FREN1404,Basic French Literature,RR1Z1@UoNEHT.ac.uk,,,42.0,1.0,4.0,4.0
Elizabeth,Smith,30296337,ES3Y25@UoNEHT.ac.uk,4,"678 Mccoy Terrace Apt. 321
West Chad, NC 80170",(326)354-1783,COMP4407,Theoretical Programming,JB2Z1@UoNEHT.ac.uk,AD2Z1@UoNEHT.ac.uk,,,41.0,41.0,
Maria,Wallace,81173374,MW17Y25@UoNEHT.ac.uk,2,"3783 Mckenzie Fork
Robinsonborough, AK 84341",+1-724-652-4672x278,ANIM2402,Advanced Rigging,TF1Z1@UoNEHT.ac.uk,WM1Z1@UoNEHT.ac.uk,,,47.0,39.0,
Kimberly,Barnes,113312968,KB7Y25@UoNEHT.ac.uk,1,"03955 Bennett Pines
New Timothyview, LA 85810",+1-575-624-3630,FINE1404,Foundational Charcoal,JG3Z1@UoNEHT.ac.uk,HS1Z1@UoNEHT.ac.uk,,32.0,5.0,2.0,
Laura,Snyder,104221379,LS6Y25@UoNEHT.ac.uk,2,"USNV Castro
FPO AP 07670",(359)358-4237,COMP2401,Intermediate Design,FM1Z1@UoNEHT.ac.uk,LP1Z1@UoNEHT.ac.uk,TM3Z1@UoNEHT.ac.uk,,0.0,31.0,
Stephanie,Gardner,99728884,SG10Y25@UoNEHT.ac.uk,2,"260 Dawson Ford
Millerborough, CT 28847",,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,60.0,6.0,,
Cody,Bryant,19045837,CB2Y25@UoNEHT.ac.uk,4,"004 David Hills Suite 923
South Stephanie, ND 06845",(768)900-2130x785,ENG4401,Theoretical Rhetoric,MR1Z1@UoNEHT.ac.uk,EH1Z1@UoNEHT.ac.uk,RR1Z1@UoNEHT.ac.uk,54.0,,,
Johnny,Peterson,141542055,JP21Y25@UoNEHT.ac.uk,1,"75853 Young Walk
Davidfort, KY 70280",,ELEC1403,Foundational Modelling,RV1Z1@UoNEHT.ac.uk,,,67.0,5.0,4.0,
Ryan,Sanchez,70600794,RS6Y25@UoNEHT.ac.uk,3,"792 Dennis Drives
North Rebecca, DC 93893",329-908-4957x15757,ELEC3406,Field Hardware,CL1Z1@UoNEHT.ac.uk,CH1Z1@UoNEHT.ac.uk,MJ1Z1@UoNEHT.ac.uk,19.0,4.0,,
Julie,Williams,14468663,JW5Y25@UoNEHT.ac.uk,4,"89132 Robert Motorway
North Michael, MD 64551",(467)340-8429x762,FREN4407,Expert Creative Writing,NY1Z1@UoNEHT.ac.uk,EM1Z1@UoNEHT.ac.uk,,,0.0,20.0,
Heather,Walker,93330487,HW2Y25@UoNEHT.ac.uk,2,"35625 Jones Spring Apt. 328
South Sharon, TN 46460",+1-621-613-5613x47095,ENG2407,Advanced Rhetoric,EH1Z1@UoNEHT.ac.uk,,,55.0,16.0,,
Sheila,Gray,10689419,SG1Y25@UoNEHT.ac.uk,4,"5952 Kristin Shoal
Vanessahaven, UT 38996",902.671.1788x145,ANIM4404,Theoretical Modelling,JB1Z1@UoNEHT.ac.uk,,,,4.0,8.0,0.0
Wendy,Warner,13054183,WW2Y25@UoNEHT.ac.uk,4,"USCGC Patterson
FPO AE 25388",960.368.3445,FREN4405,Theoretical Rhetoric,JM1Z1@UoNEHT.ac.uk,JL1Z1@UoNEHT.ac.uk,,28.0,4.0,9.0,
Roger,Norris,110468401,RN2Y25@UoNEHT.ac.uk,1,"6644 Carrie Vista Suite 311
Owensport, WI 57550",(280)234-7527x59999,FINE1402,Early Sketching,JO1Z1@UoNEHT.ac.uk,,,12.0,9.0,,
Cynthia,White,6241141,CW4Y25@UoNEHT.ac.uk,4,"84383 Sherry Crest Suite 876
Tapialand, LA 86391",796.263.5235x7626,ANIM4405,Mastering Lighting,HS1Z1@UoNEHT.ac.uk,SC1Z1@UoNEHT.ac.uk,MS1Z1@UoNEHT.ac.uk,78.0,8.0,6.0,
Wendy,Odom,71364800,WO1Y25@UoNEHT.ac.uk,3,,711-756-3334x76999,ELEC3401,Advanced Modelling,JG1Z1@UoNEHT.ac.uk,,,59.0,0.0,7.0,
David,Burnett,56694635,DB10Y25@UoNEHT.ac.uk,3,"607 Vance Port
Port Brandontown, NY 06023",865-868-8183,ENG3404,Advanced Formal Speech,AE1Z1@UoNEHT.ac.uk,RC1Z1@UoNEHT.ac.uk,,,45.0,10.0,
Michele,Sanders,96992489,MS17Y25@UoNEHT.ac.uk,2,,001-623-983-5451x747,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,21.0,39.0,
Daniel,Dunn,136625751,DD6Y25@UoNEHT.ac.uk,1,"315 Karla Port
East Colton, RI 41388",9354187678,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,24.0,4.0,2.0,
Matthew,Dunlap,16875576,MD3Y25@UoNEHT.ac.uk,4,"4073 Ashley Locks
Brewermouth, MT 80756",,FREN4406,Theoretical Formal Speech,KC1Z1@UoNEHT.ac.uk,TM2Z1@UoNEHT.ac.uk,YC1Z1@UoNEHT.ac.uk,2.0,,,
Amanda,Gonzalez,61830092,AG5Y25@UoNEHT.ac.uk,3,"272 Lopez Extension Suite 095
Molinastad, VI 91003",560-454-1114x2933,GER3403,Mastering Poetics,AT2Z1@UoNEHT.ac.uk,JD3Z1@UoNEHT.ac.uk,EM1Z1@UoNEHT.ac.uk,10.0,2.0,,
Ariel,Spencer,20445297,AS3Y25@UoNEHT.ac.uk,4,"900 Brittany Avenue Suite 623
Lake Craig, TN 36079",,ENG4405,Expert Formal Speech,KB1Z1@UoNEHT.ac.uk,RR1Z1@UoNEHT.ac.uk,,,4.0,50.0,
Lori,Taylor,117894738,LT5Y25@UoNEHT.ac.uk,1,"49050 Ryan Mills
Gardnerburgh, AZ 99046",+1-612-589-5587x578,ANIM1403,Beginner's Modelling,CM2Z1@UoNEHT.ac.uk,BP2Z1@UoNEHT.ac.uk,TW2Z1@UoNEHT.ac.uk,55.0,4.0,,
Suzanne,Anderson,102817491,SA8Y25@UoNEHT.ac.uk,2,"998 Michelle River
East Lisa, CA 40664",001-300-603-0496x464,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,59.0,40.0,,
Jonathan,Erickson,98034876,JE7Y25@UoNEHT.ac.uk,2,"PSC 5024, Box 9103
APO AP 15954",287.728.9547x99038,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,18.0,8.0,
Amanda,Lopez,73223829,AL5Y25@UoNEHT.ac.uk,3,"4062 William Mews
North Rhonda, CO 60865",554.747.5820,ELEC3406,Field Hardware,CL1Z1@UoNEHT.ac.uk,CH1Z1@UoNEHT.ac.uk,MJ1Z1@UoNEHT.ac.uk,25.0,33.0,,
Lisa,Green,27948529,LG1Y25@UoNEHT.ac.uk,4,"5092 Stephanie Springs Suite 596
North Shannonmouth, MO 79274",,COMP4405,Theoretical Statistics,JJ1Z1@UoNEHT.ac.uk,RR2Z1@UoNEHT.ac.uk,,78.0,9.0,,
John,Peck,109315873,JP16Y25@UoNEHT.ac.uk,1,"7824 Ward Wells
Robertburgh, WV 23048",(685)427-1476,FINE1403,Beginner's Painting,AM1Z1@UoNEHT.ac.uk,MS5Z1@UoNEHT.ac.uk,,66.0,5.0,7.0,1.0
Steven,Martinez,74297644,SM10Y25@UoNEHT.ac.uk,3,"4227 Rose Ridges
West Daniellebury, IL 06186",,ELEC3405,Field Design,LN1Z1@UoNEHT.ac.uk,,,42.0,12.0,,
Kimberly,Berger,51364814,KB3Y25@UoNEHT.ac.uk,3,"PSC 2421, Box 5933
APO AE 84666",,FREN3404,Advanced French Grammar,MS3Z1@UoNEHT.ac.uk,,,10.0,26.0,,
Kevin,Wade,124225532,KW10Y25@UoNEHT.ac.uk,1,"PSC 6399, Box 2041
APO AE 77187",001-500-682-1654x3087,ENG1402,Basic Poetics,AH3Z1@UoNEHT.ac.uk,,,10.0,19.0,,
Julia,Mclaughlin,33949351,JM11Y25@UoNEHT.ac.uk,4,"4287 Andrade Trafficway Suite 375
Schneiderborough, OH 56462",+1-799-326-1364x31211,ELEC4407,Master's Ethics and Standards,MW1Z1@UoNEHT.ac.uk,PG2Z1@UoNEHT.ac.uk,TW1Z1@UoNEHT.ac.uk,44.0,5.0,9.0,
Lisa,Alexander,56479915,LA3Y25@UoNEHT.ac.uk,3,"Unit 3410 Box 8948
DPO AP 85903",,ENG3407,Field Creative Writing,MH2Z1@UoNEHT.ac.uk,,,66.0,0.0,3.0,
Leslie,Jackson,94548403,LJ4Y25@UoNEHT.ac.uk,2,"456 Wilson Walk Suite 939
Lake Tina, IL 04374",,GER2404,Intermediate German Literature,LC1Z1@UoNEHT.ac.uk,DM3Z1@UoNEHT.ac.uk,,19.0,20.0,,
Jeffrey,Adams,75224581,JA10Y25@UoNEHT.ac.uk,3,"68667 Brandon Station
Sarahchester, KY 03381",+1-856-575-2401x21413,ELEC3404,Advanced Microsystems,RR2Z1@UoNEHT.ac.uk,,,47.0,,,
Joshua,Nelson,117814918,JN9Y25@UoNEHT.ac.uk,1,"950 Todd Ports Suite 781
Tonyaborough, AZ 23719",+1-491-528-9539x47965,ANIM1402,Foundational Lighting,AM4Z1@UoNEHT.ac.uk,,,48.0,1.0,8.0,4.0
Kimberly,Griffith,54687838,KG4Y25@UoNEHT.ac.uk,3,"214 Crystal Meadows
New Theresa, MI 40396",526.496.0483,ENG3403,Field English Literature,JS2Z1@UoNEHT.ac.uk,CC1Z1@UoNEHT.ac.uk,,,17.0,12.0,13.0
Beverly,Thomas,53592556,BT1Y25@UoNEHT.ac.uk,3,"0769 Linda Grove Apt. 199
East Robinfort, AK 03811",,FREN3407,Mastering Poetics,AE1Z1@UoNEHT.ac.uk,NY1Z1@UoNEHT.ac.uk,,3.0,23.0,1.0,17.0
Teresa,Morris,102074265,TM9Y25@UoNEHT.ac.uk,2,"88134 Martin Locks
Calderonside, IA 16984",803-511-7620,COMP2402,Advanced Ethics and Standards,KB2Z1@UoNEHT.ac.uk,JR3Z1@UoNEHT.ac.uk,CM3Z1@UoNEHT.ac.uk,,27.0,37.0,
Tamara,Zuniga,46399093,TZ1Y25@UoNEHT.ac.uk,3,"095 Parks Club
East Xavier, AK 79420",856-297-4684x440,ANIM3402,Mastering Lighting,MS1Z1@UoNEHT.ac.uk,DM1Z1@UoNEHT.ac.uk,,45.0,4.0,,
Robert,Phillips,67727312,RP6Y25@UoNEHT.ac.uk,3,"131 Miller Crossing Apt. 556
East Morgan, IN 93609",(631)279-6518x33769,COMP3406,Field Ethics and Standards,JR3Z1@UoNEHT.ac.uk,,,12.0,11.0,23.0,1.0
Kevin,Johnson,23774742,KJ5Y25@UoNEHT.ac.uk,4,"3679 Rebecca Island
Tatefurt, DC 99570",(931)709-3951x447,GER4407,Master's Poetics,JW1Z1@UoNEHT.ac.uk,,,21.0,4.0,15.0,16.0
Breanna,Jennings,67821304,BJ3Y25@UoNEHT.ac.uk,3,"81703 Gordon Fields
Port Samanthafurt, AL 88455",2345598201,COMP3401,Mastering Algorithms,MF3Z1@UoNEHT.ac.uk,,,15.0,6.0,9.0,
Mary,Meyer,17782747,MM5Y25@UoNEHT.ac.uk,4,"68891 Sparks Forges Apt. 703
Veronicaland, LA 48696",,ENG4402,Master's English Grammar,DS1Z1@UoNEHT.ac.uk,NC1Z1@UoNEHT.ac.uk,,52.0,6.0,9.0,
Ryan,Craig,99583667,RC3Y25@UoNEHT.ac.uk,2,"304 Freeman Drive Suite 256
New Samuel, WI 34220",241.549.3638x21154,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,41.0,10.0,,
William,Woodard,56628168,WW3Y25@UoNEHT.ac.uk,3,"36964 Dana Highway
Perezstad, IA 92085",+1-594-816-6321x4966,ENG3402,Mastering Wider Media,MB1Z1@UoNEHT.ac.uk,,,46.0,22.0,,
Brandon,Hatfield,93974659,BH11Y25@UoNEHT.ac.uk,2,"Unit 3844 Box 5087
DPO AA 17798",(322)329-6499,ENG2404,Prototypical Formal Speech,TB1Z1@UoNEHT.ac.uk,CC2Z1@UoNEHT.ac.uk,MS4Z1@UoNEHT.ac.uk,49.0,8.0,5.0,
Nicholas,Davis,53962913,ND1Y25@UoNEHT.ac.uk,3,"7409 Murray Loop Suite 205
Lake Sandrahaven, AS 56979",(838)703-6787,FREN3407,Mastering Poetics,AE1Z1@UoNEHT.ac.uk,NY1Z1@UoNEHT.ac.uk,,5.0,13.0,25.0,6.0
Elijah,Rodriguez,105896629,ER3Y25@UoNEHT.ac.uk,2,"503 Amy Loop
Thomasbury, MT 55186",2887338183,ELEC2407,Intermediate Microsystems,MJ1Z1@UoNEHT.ac.uk,MW4Z1@UoNEHT.ac.uk,,9.0,2.0,9.0,
Laura,Brown,93535896,LB6Y25@UoNEHT.ac.uk,2,"09247 Patterson Stravenue
West Timothyport, NC 74667",,ENG2402,Intermediate Creative Writing,KB1Z1@UoNEHT.ac.uk,JW1Z1@UoNEHT.ac.uk,,24.0,23.0,19.0,14.0
Elizabeth,Gutierrez,89949529,EG5Y25@UoNEHT.ac.uk,2,"7761 Sanchez Brook
Robbinsberg, CT 88000",(625)577-6666,ENG2406,Structured English Grammar,RM3Z1@UoNEHT.ac.uk,,,2.0,6.0,,
James,Martinez,126365201,JM46Y25@UoNEHT.ac.uk,1,"PSC 5727, Box 6684
APO AP 92001",(935)455-0925x3657,ENG1403,Basic English Literature,SA3Z1@UoNEHT.ac.uk,,,9.0,2.0,4.0,1.0
Keith,Haley,97345366,KH15Y25@UoNEHT.ac.uk,2,"5708 Joan Cliff Suite 626
Port Jennifer, OR 20404",,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,49.0,14.0,
Sandra,Pham,51596705,SP5Y25@UoNEHT.ac.uk,3,"1814 Collins Plains
North Robertmouth, ID 57756",,FREN3401,Advanced Wider Media,LG1Z1@UoNEHT.ac.uk,MM3Z1@UoNEHT.ac.uk,,76.0,,,
Benjamin,Johnson,141324465,BJ6Y25@UoNEHT.ac.uk,1,"86386 Trujillo Lake
Lake Lauraland, WI 44278",,ELEC1407,Foundational Statistics,TW4Z1@UoNEHT.ac.uk,SW2Z1@UoNEHT.ac.uk,,76.0,0.0,6.0,
Joseph,Olson,137628785,JO4Y25@UoNEHT.ac.uk,1,"42153 Wade Rapids Apt. 324
Georgeland, AK 95280",357.505.7455x25723,COMP1406,Foundational Statistics,TW1Z1@UoNEHT.ac.uk,MH3Z1@UoNEHT.ac.uk,DS7Z1@UoNEHT.ac.uk,71.0,8.0,,
Christopher,Campbell,50526639,CC8Y25@UoNEHT.ac.uk,3,,(484)330-4722,FREN3403,Practical Formal Speech,BE1Z1@UoNEHT.ac.uk,,,31.0,,,
Anthony,Holt,64652547,AH7Y25@UoNEHT.ac.uk,3,"029 Ramos Isle Suite 839
South Mary, AS 02586",(444)958-5041x44997,COMP3404,Practical Modelling,CJ1Z1@UoNEHT.ac.uk,JL2Z1@UoNEHT.ac.uk,,19.0,2.0,16.0,17.0
Kristen,Keller,30196699,KK1Y25@UoNEHT.ac.uk,4,"00196 Sandoval Mountains Suite 968
Josephshire, MI 31566",001-888-256-1077x0375,COMP4406,Mastering Algorithms,JD1Z1@UoNEHT.ac.uk,,,8.0,8.0,5.0,
Vernon,Parker,131601657,VP2Y25@UoNEHT.ac.uk,1,"8862 Samuel Club Apt. 951
Mosleystad, IA 02557",+1-275-288-3437x157,GER1405,Beginner's Rhetoric,JK1Z1@UoNEHT.ac.uk,SW1Z1@UoNEHT.ac.uk,,36.0,5.0,,
Margaret,Pacheco,19434166,MP1Y25@UoNEHT.ac.uk,4,"541 David Inlet Apt. 748
Jordanmouth, MA 31492",6138825662,ENG4401,Theoretical Rhetoric,MR1Z1@UoNEHT.ac.uk,EH1Z1@UoNEHT.ac.uk,RR1Z1@UoNEHT.ac.uk,21.0,,,
Ann,Jackson,107038665,AJ12Y25@UoNEHT.ac.uk,2,"5966 Morgan Avenue Apt. 166
Amberport, MA 74512",,ELEC2403,Advanced Modelling,MB2Z1@UoNEHT.ac.uk,JJ5Z1@UoNEHT.ac.uk,RM4Z1@UoNEHT.ac.uk,,1.0,13.0,15.0
Monica,Schwartz,66996783,MS10Y25@UoNEHT.ac.uk,3,"3336 Russell Tunnel Apt. 606
East Michaelbury, HI 17183",392.931.1663x2896,COMP3405,Field Design,RR3Z1@UoNEHT.ac.uk,PG2Z1@UoNEHT.ac.uk,,54.0,15.0,,
Sean,Gregory,96029028,SG9Y25@UoNEHT.ac.uk,2,"8042 Howard Park Apt. 984
Yodermouth, CT 73399",,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,41.0,14.0,
Brooke,Sims,83521201,BS5Y25@UoNEHT.ac.uk,2,"112 Mayer Throughway
North Coryside, OR 25454",,ANIM2405,Prototypical Modelling,SA1Z1@UoNEHT.ac.uk,AM1Z1@UoNEHT.ac.uk,CC3Z1@UoNEHT.ac.uk,71.0,,,
Stephanie,Walton,106044834,SW9Y25@UoNEHT.ac.uk,2,"47019 Saunders Field Apt. 034
New Chadton, IN 85523",475-305-2941x6984,ELEC2401,Prototypical Ethics and Standards,AD2Z1@UoNEHT.ac.uk,,,78.0,17.0,,
Mark,Gonzalez,96836388,MG15Y25@UoNEHT.ac.uk,2,"5373 Mata Rue Apt. 333
Sheltonview, TN 50654",727-647-5113,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,36.0,48.0,
Michael,Weaver,140471758,MW24Y25@UoNEHT.ac.uk,1,"011 Zamora Orchard
Gordonburgh, MH 77480",997.255.9111x64559,ELEC1407,Foundational Statistics,TW4Z1@UoNEHT.ac.uk,SW2Z1@UoNEHT.ac.uk,,5.0,5.0,4.0,
