faculty,building,room,capacity,lecturer_email,lecturer_firstname,lecturer_surname
Faculty of Languages,B35,R4013,270,RW1Z1@UoNEHT.ac.uk,Robert,Walters
Faculty of Languages,B35,R4014,160,MR1Z1@UoNEHT.ac.uk,Michael,Rogers
Faculty of Languages,B35,R4017,440,CC2Z1@UoNEHT.ac.uk,Carrie,Cameron
Faculty of Languages,B35,R4030,30,GM1Z1@UoNEHT.ac.uk,Gregory,Miller
Faculty of Languages,B38,R2016,10,LM3Z1@UoNEHT.ac.uk,Lauren,Mccoy
Faculty of Languages,B38,R2016,10,NC1Z1@UoNEHT.ac.uk,Nancy,Costa
Faculty of Languages,B38,R2020,450,TM1Z1@UoNEHT.ac.uk,Tony,Miller
Faculty of Languages,B38,R2023,80,CC1Z1@UoNEHT.ac.uk,Cassandra,Clark
Faculty of Languages,B38,R2023,80,DC1Z1@UoNEHT.ac.uk,Dean,Cruz
Faculty of Languages,B39,R2010,490,SA3Z1@UoNEHT.ac.uk,Stephanie,Arnold
Faculty of Languages,B39,R3024,390,DB3Z1@UoNEHT.ac.uk,Deborah,Bailey
Faculty of Languages,B39,R3026,320,AP2Z1@UoNEHT.ac.uk,Alexander,Pierce
Faculty of Languages,B39,R3026,320,KH2Z1@UoNEHT.ac.uk,Karen,Hamilton
Faculty of Languages,B39,R6059,120,AE1Z1@UoNEHT.ac.uk,Alicia,Elliott
Faculty of Languages,B39,R7063,160,RR4Z1@UoNEHT.ac.uk,Ricardo,Ruiz
Faculty of Languages,B39,R7074,230,AH3Z1@UoNEHT.ac.uk,Amber,Harris
Faculty of Languages,B39,R7078,340,SD1Z1@UoNEHT.ac.uk,Sharon,Dunn
Faculty of Languages,B39,R9088,90,TC2Z1@UoNEHT.ac.uk,Tracy,Carey
Faculty of Languages,B41,R1009,310,JK1Z1@UoNEHT.ac.uk,Jared,Knight
Faculty of Languages,B41,R1023,250,AC2Z1@UoNEHT.ac.uk,Ana,Cooper
Faculty of Languages,B41,R3035,340,SG1Z1@UoNEHT.ac.uk,Sara,Gilbert
Faculty of Languages,B41,R4049,250,KC1Z1@UoNEHT.ac.uk,Keith,Carroll
Faculty of Languages,B41,R4054,290,CS1Z1@UoNEHT.ac.uk,Christine,Small
Faculty of Languages,B41,R5061,260,BT1Z1@UoNEHT.ac.uk,Brendan,Turner
Faculty of Languages,B41,R6079,460,DM3Z1@UoNEHT.ac.uk,Dakota,Murphy
Faculty of Languages,B52,R1000,430,LG1Z1@UoNEHT.ac.uk,Lauren,Greene
Faculty of Languages,B52,R1001,460,JC1Z1@UoNEHT.ac.uk,Julia,Cooper
Faculty of Languages,B52,R1003,370,EL2Z1@UoNEHT.ac.uk,Edward,Lewis
Faculty of Languages,B52,R1004,210,LH1Z1@UoNEHT.ac.uk,Louis,Hoover
Faculty of Languages,B52,R3019,270,BE1Z1@UoNEHT.ac.uk,Brett,Erickson
Faculty of Languages,B52,R3022,260,BT1Z1@UoNEHT.ac.uk,Brendan,Turner
Faculty of Languages,B52,R3025,20,NC1Z1@UoNEHT.ac.uk,Nancy,Costa
Faculty of Languages,B52,R3027,320,KB3Z1@UoNEHT.ac.uk,Kara,Brown
Faculty of Languages,B54,R8043,150,RR1Z1@UoNEHT.ac.uk,Robert,Reynolds
Faculty of Languages,B54,R9054,340,DM4Z1@UoNEHT.ac.uk,Danielle,Mendez
Faculty of Languages,B54,R9054,340,LS2Z1@UoNEHT.ac.uk,Lisa,Soto
Faculty of Languages,B55,R2008,370,CC2Z1@UoNEHT.ac.uk,Carrie,Cameron
Faculty of Languages,B55,R2013,410,CB1Z1@UoNEHT.ac.uk,Charles,Brady
Faculty of Languages,B55,R3018,430,MM3Z1@UoNEHT.ac.uk,Michael,Maldonado
Faculty of Languages,B55,R3022,220,CC1Z1@UoNEHT.ac.uk,Cassandra,Clark
Faculty of Languages,B55,R4040,250,ML1Z1@UoNEHT.ac.uk,Melissa,Long
Faculty of Languages,B55,R4041,300,LS2Z1@UoNEHT.ac.uk,Lisa,Soto
Faculty of Languages,B56,R11059,350,EP1Z1@UoNEHT.ac.uk,Emily,Pitts
Faculty of Languages,B56,R16091,220,LS2Z1@UoNEHT.ac.uk,Lisa,Soto
Faculty of Languages,B56,R16091,220,MS3Z1@UoNEHT.ac.uk,Matthew,Stanton
Faculty of Languages,B56,R2011,90,EG1Z1@UoNEHT.ac.uk,Edwin,Griffin
Faculty of Languages,B56,R2015,170,SC4Z1@UoNEHT.ac.uk,Stephanie,Contreras
Faculty of Languages,B56,R4029,380,DB2Z1@UoNEHT.ac.uk,Daniel,Bowen
Faculty of Languages,B63,R1000,230,CC2Z1@UoNEHT.ac.uk,Carrie,Cameron
Faculty of Languages,B64,R2005,230,ML1Z1@UoNEHT.ac.uk,Melissa,Long
Faculty of Languages,B64,R2009,70,KS2Z1@UoNEHT.ac.uk,Kristen,Scott
Faculty of Languages,B64,R2014,110,CC2Z1@UoNEHT.ac.uk,Carrie,Cameron
Faculty of Languages,B64,R2018,40,KB1Z1@UoNEHT.ac.uk,Kenneth,Baker
Faculty of Languages,B64,R2018,40,KH2Z1@UoNEHT.ac.uk,Karen,Hamilton
Faculty of Languages,B64,R2023,420,JJ2Z1@UoNEHT.ac.uk,Joyce,Jones
Faculty of Languages,B64,R2026,280,DF1Z1@UoNEHT.ac.uk,Dennis,Fuentes
Faculty of Languages,B64,R2027,10,CS1Z1@UoNEHT.ac.uk,Christine,Small
Faculty of Languages,B64,R2035,230,CT2Z1@UoNEHT.ac.uk,Christopher,Torres
Faculty of Languages,B64,R2041,220,MC2Z1@UoNEHT.ac.uk,Michael,Cooper
Faculty of Languages,B65,R2003,470,DS1Z1@UoNEHT.ac.uk,David,Stafford
Faculty of Languages,B65,R2004,280,LS2Z1@UoNEHT.ac.uk,Lisa,Soto
Faculty of Languages,B65,R6032,250,BE1Z1@UoNEHT.ac.uk,Brett,Erickson
Faculty of Languages,B65,R6048,450,CH2Z1@UoNEHT.ac.uk,Cheryl,Hunter
Faculty of Languages,B65,R8057,270,MH2Z1@UoNEHT.ac.uk,Matthew,Hart
Faculty of Languages,B65,R8062,330,JK1Z1@UoNEHT.ac.uk,Jared,Knight
Faculty of Languages,B71,R2012,280,DM3Z1@UoNEHT.ac.uk,Dakota,Murphy
Faculty of Languages,B71,R3020,110,SR1Z1@UoNEHT.ac.uk,Samuel,Reynolds
Faculty of Languages,B71,R3023,460,JJ4Z1@UoNEHT.ac.uk,Justin,Johnson
Faculty of Languages,B71,R5031,140,CB2Z1@UoNEHT.ac.uk,Courtney,Blair
Faculty of Languages,B71,R7042,350,KC1Z1@UoNEHT.ac.uk,Keith,Carroll
Faculty of Languages,B72,R11044,90,JC3Z1@UoNEHT.ac.uk,Jennifer,Clark
Faculty of Languages,B72,R11052,200,AH2Z1@UoNEHT.ac.uk,Angie,Hamilton
Faculty of Languages,B72,R11053,380,JP3Z1@UoNEHT.ac.uk,Jennifer,Patton
Faculty of Languages,B72,R11053,380,NY1Z1@UoNEHT.ac.uk,Nicole,Young
Faculty of Languages,B72,R4013,110,MW3Z1@UoNEHT.ac.uk,Matthew,Werner
Faculty of Languages,B76,R2004,230,BW2Z1@UoNEHT.ac.uk,Beth,Wilson
Faculty of Languages,B76,R2019,140,KS3Z1@UoNEHT.ac.uk,Kyle,Soto
Faculty of Languages,B76,R5029,450,DS5Z1@UoNEHT.ac.uk,Dana,Shaffer
Faculty of Languages,B76,R7047,100,DM3Z1@UoNEHT.ac.uk,Dakota,Murphy
Faculty of Languages,B77,R3007,470,PF1Z1@UoNEHT.ac.uk,Patrick,Fields
Faculty of Languages,B77,R3008,410,MF2Z1@UoNEHT.ac.uk,Morgan,Fuller
Faculty of Languages,B77,R6035,160,DS3Z1@UoNEHT.ac.uk,Dana,Schmidt
Faculty of Languages,B77,R6036,430,DS5Z1@UoNEHT.ac.uk,Dana,Shaffer
Faculty of Languages,B77,R6038,110,CC1Z1@UoNEHT.ac.uk,Cassandra,Clark
Faculty of Languages,B77,R6039,90,MJ2Z1@UoNEHT.ac.uk,Molly,Jones
Faculty of Languages,B77,R6039,90,MW5Z1@UoNEHT.ac.uk,Michael,White
Faculty of Languages,B77,R6044,400,JK2Z1@UoNEHT.ac.uk,Jasmine,Kline
Faculty of Languages,B77,R7062,60,JP2Z1@UoNEHT.ac.uk,Juan,Pierce
Faculty of Languages,B79,R2007,10,MB1Z1@UoNEHT.ac.uk,Mark,Barron
Faculty of Languages,B79,R4026,420,DS4Z1@UoNEHT.ac.uk,Debra,Sanchez
Faculty of Languages,B79,R6049,300,ST1Z1@UoNEHT.ac.uk,Steven,Thompson
Faculty of Languages,B79,R6059,170,AE1Z1@UoNEHT.ac.uk,Alicia,Elliott
Faculty of Languages,B79,R6071,120,AG1Z1@UoNEHT.ac.uk,Ann,Garrison
Faculty of Languages,B79,R6073,260,AL1Z1@UoNEHT.ac.uk,Andrew,Lewis
Faculty of Languages,B79,R6075,40,LH1Z1@UoNEHT.ac.uk,Louis,Hoover
Faculty of Languages,B79,R8082,410,TM5Z1@UoNEHT.ac.uk,Thomas,Mclaughlin
Faculty of Languages,B80,R10049,270,KB1Z1@UoNEHT.ac.uk,Kenneth,Baker
Faculty of Languages,B80,R2006,210,JD3Z1@UoNEHT.ac.uk,James,Diaz
Faculty of Languages,B80,R2015,280,MM1Z1@UoNEHT.ac.uk,Mary,Myers
Faculty of Languages,B80,R3017,480,RW1Z1@UoNEHT.ac.uk,Robert,Walters
Faculty of Languages,B80,R7027,430,MH2Z1@UoNEHT.ac.uk,Matthew,Hart
Faculty of Languages,B81,R1001,290,CB1Z1@UoNEHT.ac.uk,Charles,Brady
Faculty of Languages,B81,R1004,220,FF1Z1@UoNEHT.ac.uk,Frank,Fernandez
Faculty of Languages,B81,R1007,180,AL1Z1@UoNEHT.ac.uk,Andrew,Lewis
Faculty of Languages,B81,R1007,180,BS1Z1@UoNEHT.ac.uk,Barry,Sandoval
Faculty of Languages,B81,R1008,310,DS4Z1@UoNEHT.ac.uk,Debra,Sanchez
Faculty of Languages,B81,R2010,220,JM8Z1@UoNEHT.ac.uk,Jesse,Moore
Faculty of Languages,B81,R2010,220,KS3Z1@UoNEHT.ac.uk,Kyle,Soto
Faculty of Languages,B82,R1002,230,KH2Z1@UoNEHT.ac.uk,Karen,Hamilton
Faculty of Languages,B82,R1008,40,DB2Z1@UoNEHT.ac.uk,Daniel,Bowen
Faculty of Languages,B82,R1008,40,RR4Z1@UoNEHT.ac.uk,Ricardo,Ruiz
Faculty of Languages,B82,R1009,460,YC1Z1@UoNEHT.ac.uk,Yvonne,Choi
Faculty of Languages,B82,R1010,30,MM1Z1@UoNEHT.ac.uk,Mary,Myers
Faculty of Languages,B82,R1012,60,GM1Z1@UoNEHT.ac.uk,Gregory,Miller
Faculty of Languages,B82,R1012,60,KS3Z1@UoNEHT.ac.uk,Kyle,Soto
Faculty of Languages,B82,R1014,160,JM1Z1@UoNEHT.ac.uk,Juan,Miller
Faculty of Languages,B82,R1015,250,CD2Z1@UoNEHT.ac.uk,Christine,Dixon
Faculty of Languages,B82,R5024,490,RC1Z1@UoNEHT.ac.uk,Robert,Chavez
Faculty of Languages,B82,R5026,150,RR1Z1@UoNEHT.ac.uk,Robert,Reynolds
Faculty of Languages,B82,R5031,180,SG1Z1@UoNEHT.ac.uk,Sara,Gilbert
Faculty of Languages,B82,R5033,230,RR4Z1@UoNEHT.ac.uk,Ricardo,Ruiz
Faculty of Languages,B84,R1000,400,RM3Z1@UoNEHT.ac.uk,Roy,Martinez
Faculty of Languages,B84,R4019,490,SD1Z1@UoNEHT.ac.uk,Sharon,Dunn
Faculty of Languages,B84,R4025,20,MP1Z1@UoNEHT.ac.uk,Mary,Perkins
Faculty of Languages,B84,R4029,250,RC1Z1@UoNEHT.ac.uk,Robert,Chavez
Faculty of Languages,B84,R4031,370,BH1Z1@UoNEHT.ac.uk,Benjamin,Holt
Faculty of Languages,B93,R10054,230,SA3Z1@UoNEHT.ac.uk,Stephanie,Arnold
Faculty of Languages,B93,R2012,140,JW3Z1@UoNEHT.ac.uk,John,Wang
Faculty of Languages,B93,R3018,70,TM2Z1@UoNEHT.ac.uk,Taylor,Maldonado
Faculty of Languages,B93,R6031,280,CH2Z1@UoNEHT.ac.uk,Cheryl,Hunter
Faculty of Languages,B93,R7042,320,SL1Z1@UoNEHT.ac.uk,Samuel,Lambert
Faculty of Languages,B93,R8045,250,JW3Z1@UoNEHT.ac.uk,John,Wang
Faculty of Languages,B94,R1006,420,DD1Z1@UoNEHT.ac.uk,David,Delgado
Faculty of Languages,B94,R1008,460,BT1Z1@UoNEHT.ac.uk,Brendan,Turner
Faculty of Languages,B94,R1009,340,DA1Z1@UoNEHT.ac.uk,Deborah,Adams
Faculty of Languages,B94,R2010,460,LM3Z1@UoNEHT.ac.uk,Lauren,Mccoy
Faculty of Languages,B94,R2011,60,NC1Z1@UoNEHT.ac.uk,Nancy,Costa
Faculty of Languages,B94,R3012,100,SS2Z1@UoNEHT.ac.uk,Stephen,Shaw
Faculty of Languages,B94,R3014,490,MM1Z1@UoNEHT.ac.uk,Mary,Myers
Faculty of Languages,B98,R1016,80,KS3Z1@UoNEHT.ac.uk,Kyle,Soto
Faculty of Languages,B98,R5066,30,LC1Z1@UoNEHT.ac.uk,Lori,Cuevas
Faculty of Languages,B98,R8088,100,JL1Z1@UoNEHT.ac.uk,Jeremy,Little
Faculty of Languages,B98,R8089,190,SK1Z1@UoNEHT.ac.uk,Susan,Keith
Faculty of Languages,B98,R8090,380,DS5Z1@UoNEHT.ac.uk,Dana,Shaffer
Faculty of Languages,B99,R1004,320,JS2Z1@UoNEHT.ac.uk,Jeff,Sullivan
Faculty of Languages,B99,R1005,30,JG2Z1@UoNEHT.ac.uk,Joseph,Gonzales
Faculty of Languages,B99,R1009,170,EL2Z1@UoNEHT.ac.uk,Edward,Lewis
Faculty of Languages,B99,R1010,270,SK1Z1@UoNEHT.ac.uk,Susan,Keith
Faculty of Languages,B99,R7058,490,RM3Z1@UoNEHT.ac.uk,Roy,Martinez
Faculty of Languages,B99,R8069,180,MM1Z1@UoNEHT.ac.uk,Mary,Myers
Faculty of Languages,B99,R9079,400,RW1Z1@UoNEHT.ac.uk,Robert,Walters
Faculty of Technology,B12,R1000,120,CE1Z1@UoNEHT.ac.uk,Christopher,Eaton
Faculty of Technology,B12,R1000,120,PG2Z1@UoNEHT.ac.uk,Patty,Gray
Faculty of Technology,B12,R1004,330,PG2Z1@UoNEHT.ac.uk,Patty,Gray
Faculty of Technology,B12,R1007,90,JW2Z1@UoNEHT.ac.uk,John,Watts
Faculty of Technology,B12,R1009,480,MD2Z1@UoNEHT.ac.uk,Melissa,Day
Faculty of Technology,B12,R2030,350,JH3Z1@UoNEHT.ac.uk,Jesse,Hickman
Faculty of Technology,B12,R2036,100,EB1Z1@UoNEHT.ac.uk,Elizabeth,Brady
Faculty of Technology,B12,R2045,60,KW2Z1@UoNEHT.ac.uk,Kristin,Wilson
Faculty of Technology,B12,R2049,220,MN1Z1@UoNEHT.ac.uk,Mitchell,Nelson
Faculty of Technology,B12,R5062,80,DH3Z1@UoNEHT.ac.uk,Dylan,Hinton
Faculty of Technology,B12,R6076,20,VB1Z1@UoNEHT.ac.uk,Vernon,Barr
Faculty of Technology,B12,R6077,240,KT1Z1@UoNEHT.ac.uk,Kevin,Tucker
Faculty of Technology,B13,R2005,140,MG2Z1@UoNEHT.ac.uk,Mark,Gill
Faculty of Technology,B13,R2006,30,LK1Z1@UoNEHT.ac.uk,Lindsay,King
Faculty of Technology,B13,R3007,320,JM6Z1@UoNEHT.ac.uk,Jack,Mccarthy
Faculty of Technology,B13,R8040,350,EB1Z1@UoNEHT.ac.uk,Elizabeth,Brady
Faculty of Technology,B13,R8043,160,JW2Z1@UoNEHT.ac.uk,John,Watts
Faculty of Technology,B13,R8083,30,JS3Z1@UoNEHT.ac.uk,Jared,Smith
Faculty of Technology,B20,R1000,190,LG2Z1@UoNEHT.ac.uk,Laura,Green
Faculty of Technology,B20,R1002,380,AK1Z1@UoNEHT.ac.uk,Amy,Kennedy
Faculty of Technology,B20,R1002,380,GB1Z1@UoNEHT.ac.uk,Gordon,Butler
Faculty of Technology,B20,R11083,200,LG2Z1@UoNEHT.ac.uk,Laura,Green
Faculty of Technology,B20,R2017,200,RV1Z1@UoNEHT.ac.uk,Robert,Velasquez
Faculty of Technology,B20,R3018,490,MF3Z1@UoNEHT.ac.uk,Melinda,Fields
Faculty of Technology,B20,R9064,420,JG6Z1@UoNEHT.ac.uk,Jonathan,George
Faculty of Technology,B24,R2008,280,CS3Z1@UoNEHT.ac.uk,Carol,Snyder
Faculty of Technology,B24,R3010,310,TW1Z1@UoNEHT.ac.uk,Timothy,Wang
Faculty of Technology,B24,R3012,450,JR5Z1@UoNEHT.ac.uk,James,Rodriguez
Faculty of Technology,B24,R4024,270,KR1Z1@UoNEHT.ac.uk,Kenneth,Robinson
Faculty of Technology,B24,R4053,270,SA2Z1@UoNEHT.ac.uk,Shannon,Acosta
Faculty of Technology,B24,R4054,200,SM1Z1@UoNEHT.ac.uk,Steven,Mitchell
Faculty of Technology,B24,R4057,370,JC5Z1@UoNEHT.ac.uk,Jessica,Chandler
Faculty of Technology,B24,R8073,330,JH2Z1@UoNEHT.ac.uk,Janet,Harrison
Faculty of Technology,B27,R3008,20,SM1Z1@UoNEHT.ac.uk,Steven,Mitchell
Faculty of Technology,B27,R3012,420,JC2Z1@UoNEHT.ac.uk,Jaclyn,Carpenter
Faculty of Technology,B27,R3017,250,RB2Z1@UoNEHT.ac.uk,Robert,Becker
Faculty of Technology,B27,R3018,430,MW1Z1@UoNEHT.ac.uk,Mary,Wilson
Faculty of Technology,B27,R3020,60,FM1Z1@UoNEHT.ac.uk,Frank,Murphy
Faculty of Technology,B27,R3021,130,LP1Z1@UoNEHT.ac.uk,Leslie,Petty
Faculty of Technology,B27,R3022,410,RB1Z1@UoNEHT.ac.uk,Robert,Burnett
Faculty of Technology,B27,R3024,280,SJ2Z1@UoNEHT.ac.uk,Samantha,Jackson
Faculty of Technology,B27,R3025,310,JD1Z1@UoNEHT.ac.uk,Jenna,Donaldson
Faculty of Technology,B27,R4034,400,AP1Z1@UoNEHT.ac.uk,Andrea,Parker
Faculty of Technology,B27,R6052,300,FR1Z1@UoNEHT.ac.uk,Fernando,Rush
Faculty of Technology,B29,R1006,470,JS3Z1@UoNEHT.ac.uk,Jared,Smith
Faculty of Technology,B29,R2009,70,CJ1Z1@UoNEHT.ac.uk,Clifford,Johnson
Faculty of Technology,B29,R2009,70,TW1Z1@UoNEHT.ac.uk,Timothy,Wang
Faculty of Technology,B2,R1001,80,MB2Z1@UoNEHT.ac.uk,Megan,Berger
Faculty of Technology,B2,R1005,300,CC4Z1@UoNEHT.ac.uk,Christian,Collins
Faculty of Technology,B2,R1019,160,CJ2Z1@UoNEHT.ac.uk,Carolyn,Johnson
Faculty of Technology,B2,R1021,30,DM2Z1@UoNEHT.ac.uk,Dale,Martinez
Faculty of Technology,B2,R2030,480,PG2Z1@UoNEHT.ac.uk,Patty,Gray
Faculty of Technology,B2,R3046,140,TM4Z1@UoNEHT.ac.uk,Todd,Mitchell
Faculty of Technology,B2,R3050,360,CT1Z1@UoNEHT.ac.uk,Cody,Thomas
Faculty of Technology,B2,R7066,50,HH1Z1@UoNEHT.ac.uk,Hector,Hernandez
Faculty of Technology,B2,R9081,310,AC3Z1@UoNEHT.ac.uk,Amanda,Campbell
Faculty of Technology,B2,R9086,390,AK1Z1@UoNEHT.ac.uk,Amy,Kennedy
Faculty of Technology,B2,R9089,110,CH1Z1@UoNEHT.ac.uk,Christopher,Harvey
Faculty of Technology,B2,R9090,460,JG1Z1@UoNEHT.ac.uk,Joshua,Garrison
Faculty of Technology,B32,R2046,40,DP1Z1@UoNEHT.ac.uk,Denise,Payne
Faculty of Technology,B32,R3047,220,JO2Z1@UoNEHT.ac.uk,Joseph,Ortiz
Faculty of Technology,B32,R3047,220,MC3Z1@UoNEHT.ac.uk,Maurice,Carson
Faculty of Technology,B32,R3052,490,FR1Z1@UoNEHT.ac.uk,Fernando,Rush
Faculty of Technology,B32,R3058,380,MN1Z1@UoNEHT.ac.uk,Mitchell,Nelson
Faculty of Technology,B32,R3058,380,RR3Z1@UoNEHT.ac.uk,Richard,Roth
Faculty of Technology,B32,R6076,180,MJ1Z1@UoNEHT.ac.uk,Megan,Jordan
Faculty of Technology,B34,R1000,440,JH2Z1@UoNEHT.ac.uk,Janet,Harrison
Faculty of Technology,B34,R3018,10,TH2Z1@UoNEHT.ac.uk,Tyler,Hudson
Faculty of Technology,B34,R3023,360,RV1Z1@UoNEHT.ac.uk,Robert,Velasquez
Faculty of Technology,B3,R1008,210,LT1Z1@UoNEHT.ac.uk,Linda,Terry
Faculty of Technology,B3,R1009,140,KR1Z1@UoNEHT.ac.uk,Kenneth,Robinson
Faculty of Technology,B3,R2012,450,DH3Z1@UoNEHT.ac.uk,Dylan,Hinton
Faculty of Technology,B3,R2013,310,MW4Z1@UoNEHT.ac.uk,Marcus,Woodard
Faculty of Technology,B3,R2014,440,MD2Z1@UoNEHT.ac.uk,Melissa,Day
Faculty of Technology,B3,R2015,490,KW1Z1@UoNEHT.ac.uk,Kelly,White
Faculty of Technology,B3,R2016,200,JM5Z1@UoNEHT.ac.uk,Joel,Morgan
Faculty of Technology,B3,R2016,200,MG1Z1@UoNEHT.ac.uk,Marc,Gonzalez
Faculty of Technology,B3,R2016,200,MN1Z1@UoNEHT.ac.uk,Mitchell,Nelson
Faculty of Technology,B3,R2017,480,JJ1Z1@UoNEHT.ac.uk,Jeremy,Jacobs
Faculty of Technology,B42,R1006,250,KW2Z1@UoNEHT.ac.uk,Kristin,Wilson
Faculty of Technology,B42,R2016,70,SA2Z1@UoNEHT.ac.uk,Shannon,Acosta
Faculty of Technology,B42,R6033,360,GW1Z1@UoNEHT.ac.uk,Gregory,Wilson
Faculty of Technology,B42,R6039,410,JR5Z1@UoNEHT.ac.uk,James,Rodriguez
Faculty of Technology,B42,R6040,40,JO2Z1@UoNEHT.ac.uk,Joseph,Ortiz
Faculty of Technology,B42,R8049,190,KS4Z1@UoNEHT.ac.uk,Kimberly,Stevens
Faculty of Technology,B42,R8050,250,TM3Z1@UoNEHT.ac.uk,Thomas,Moss
Faculty of Technology,B45,R1001,10,CJ2Z1@UoNEHT.ac.uk,Carolyn,Johnson
Faculty of Technology,B45,R2008,130,BM1Z1@UoNEHT.ac.uk,Benjamin,Mclaughlin
Faculty of Technology,B45,R2009,240,JC5Z1@UoNEHT.ac.uk,Jessica,Chandler
Faculty of Technology,B45,R3020,470,SW2Z1@UoNEHT.ac.uk,Scott,Woods
Faculty of Technology,B45,R5030,340,KW1Z1@UoNEHT.ac.uk,Kelly,White
Faculty of Technology,B45,R5032,490,JB5Z1@UoNEHT.ac.uk,Jennifer,Bennett
Faculty of Technology,B45,R5035,340,EF1Z1@UoNEHT.ac.uk,Eric,Flores
Faculty of Technology,B45,R6036,90,JB5Z1@UoNEHT.ac.uk,Jennifer,Bennett
Faculty of Technology,B45,R7049,260,FR1Z1@UoNEHT.ac.uk,Fernando,Rush
Faculty of Technology,B49,R2006,460,RB2Z1@UoNEHT.ac.uk,Robert,Becker
Faculty of Technology,B49,R3013,410,EH2Z1@UoNEHT.ac.uk,Eddie,Harris
Faculty of Technology,B49,R3017,40,ET1Z1@UoNEHT.ac.uk,Ebony,Thomas
Faculty of Technology,B49,R3018,400,JC8Z1@UoNEHT.ac.uk,Joseph,Cortez
Faculty of Technology,B49,R4037,410,JL2Z1@UoNEHT.ac.uk,Jennifer,Little
Faculty of Technology,B49,R5039,280,KB2Z1@UoNEHT.ac.uk,Kathryn,Brown
Faculty of Technology,B4,R1004,320,JC2Z1@UoNEHT.ac.uk,Jaclyn,Carpenter
Faculty of Technology,B4,R1005,440,MM4Z1@UoNEHT.ac.uk,Mary,Miller
Faculty of Technology,B4,R1012,200,RR3Z1@UoNEHT.ac.uk,Richard,Roth
Faculty of Technology,B4,R1012,200,SA2Z1@UoNEHT.ac.uk,Shannon,Acosta
Faculty of Technology,B4,R3026,300,RM4Z1@UoNEHT.ac.uk,Rebecca,Mills
Faculty of Technology,B4,R3030,260,RR2Z1@UoNEHT.ac.uk,Ryan,Reynolds
Faculty of Technology,B4,R4033,410,LN1Z1@UoNEHT.ac.uk,Louis,Nelson
Faculty of Technology,B51,R1001,340,JM6Z1@UoNEHT.ac.uk,Jack,Mccarthy
Faculty of Technology,B51,R1002,290,SB1Z1@UoNEHT.ac.uk,Steven,Ball
Faculty of Technology,B51,R1003,480,GW1Z1@UoNEHT.ac.uk,Gregory,Wilson
Faculty of Technology,B51,R1005,230,LN1Z1@UoNEHT.ac.uk,Louis,Nelson
Faculty of Technology,B51,R1008,220,DS7Z1@UoNEHT.ac.uk,Dana,Stephens
Faculty of Technology,B51,R3014,100,AD2Z1@UoNEHT.ac.uk,Annette,Davis
Faculty of Technology,B53,R1006,480,MH3Z1@UoNEHT.ac.uk,Matthew,Holmes
Faculty of Technology,B53,R1006,480,SW2Z1@UoNEHT.ac.uk,Scott,Woods
Faculty of Technology,B53,R1008,130,JH2Z1@UoNEHT.ac.uk,Janet,Harrison
Faculty of Technology,B53,R1014,20,GB1Z1@UoNEHT.ac.uk,Gordon,Butler
Faculty of Technology,B53,R1023,350,EB1Z1@UoNEHT.ac.uk,Elizabeth,Brady
Faculty of Technology,B53,R3033,130,JC2Z1@UoNEHT.ac.uk,Jaclyn,Carpenter
Faculty of Technology,B53,R3034,50,JC8Z1@UoNEHT.ac.uk,Joseph,Cortez
Faculty of Technology,B53,R3036,260,LT1Z1@UoNEHT.ac.uk,Linda,Terry
Faculty of Technology,B53,R3041,200,AD4Z1@UoNEHT.ac.uk,Amy,Delacruz
Faculty of Technology,B59,R1004,270,SC3Z1@UoNEHT.ac.uk,Stacy,Charles
Faculty of Technology,B59,R1005,440,CJ1Z1@UoNEHT.ac.uk,Clifford,Johnson
Faculty of Technology,B59,R1006,30,BC1Z1@UoNEHT.ac.uk,Brian,Contreras
Faculty of Technology,B59,R1006,30,FM1Z1@UoNEHT.ac.uk,Frank,Murphy
Faculty of Technology,B59,R1006,30,JH3Z1@UoNEHT.ac.uk,Jesse,Hickman
Faculty of Technology,B59,R1008,280,HH1Z1@UoNEHT.ac.uk,Hector,Hernandez
Faculty of Technology,B59,R1008,280,LN1Z1@UoNEHT.ac.uk,Louis,Nelson
Faculty of Technology,B60,R1005,260,SB1Z1@UoNEHT.ac.uk,Steven,Ball
Faculty of Technology,B60,R2009,100,VB1Z1@UoNEHT.ac.uk,Vernon,Barr
Faculty of Technology,B62,R1002,200,RB1Z1@UoNEHT.ac.uk,Robert,Burnett
Faculty of Technology,B62,R1005,310,LA1Z1@UoNEHT.ac.uk,Lisa,Acevedo
Faculty of Technology,B62,R1011,10,JY2Z1@UoNEHT.ac.uk,Jamie,Yang
Faculty of Technology,B62,R2014,430,TG1Z1@UoNEHT.ac.uk,Tracey,Gonzalez
Faculty of Technology,B62,R2015,330,BD1Z1@UoNEHT.ac.uk,Brianna,Davis
Faculty of Technology,B66,R1001,380,AD4Z1@UoNEHT.ac.uk,Amy,Delacruz
Faculty of Technology,B66,R1001,380,JG6Z1@UoNEHT.ac.uk,Jonathan,George
Faculty of Technology,B66,R1006,270,JR4Z1@UoNEHT.ac.uk,Jonathan,Rojas
Faculty of Technology,B66,R1007,130,AW1Z1@UoNEHT.ac.uk,Aaron,Weber
Faculty of Technology,B66,R1007,130,RM2Z1@UoNEHT.ac.uk,Richard,Martinez
Faculty of Technology,B66,R2008,40,CL1Z1@UoNEHT.ac.uk,Cheryl,Lewis
